Scrip,Open,High,Low,Close,Volume,Date,Price_Change,MA_7,Pct_Change
DELTASPINN,8.5,8.5,8.5,8.5,5010,2023-01-01,0.0,60.41428571428571,0.0
DESHBANDHU,17.4,17.4,17.4,17.4,2909,2023-01-31,8.899999999999999,60.42857142857142,104.70588235294116
DESHBANDHU,17.9,17.9,17.9,17.9,102,2023-01-01,0.5,54.728571428571435,2.8735632183908066
DGIC,33.1,33.1,33.1,33.1,58006,2023-01-31,15.200000000000003,51.199999999999996,84.91620111731845
DGIC,32.5,32.7,32.2,32.2,98356,2023-01-01,-0.8999999999999986,36.3,-2.7190332326283984
DHAKABANK,13.2,13.4,13.2,13.2,118947,2023-01-31,-19.000000000000004,18.685714285714287,-59.00621118012423
DHAKABANK,13.2,13.2,13.2,13.2,18423,2023-01-01,0.0,19.357142857142858,0.0
DHAKAINS,66.2,66.2,66.2,66.2,111471,2023-01-31,53.0,27.599999999999998,401.51515151515156
DHAKAINS,47.5,47.5,47.5,47.5,1711,2023-01-01,-18.700000000000003,31.900000000000002,-28.247734138972813
DOMINAGE,18.1,18.1,18.1,18.1,17976,2023-01-31,-29.4,31.928571428571434,-61.89473684210526
DOMINAGE,20.8,20.8,20.8,20.8,250033,2023-01-01,2.6999999999999993,30.17142857142857,14.917127071823199
DOREENPWR,61.0,61.0,61.0,61.0,254,2023-01-31,40.2,34.285714285714285,193.26923076923075
DOREENPWR,61.0,61.0,61.0,61.0,1015,2023-01-01,0.0,41.114285714285714,0.0
DSHGARME,110.8,110.8,110.8,110.8,1044,2023-01-31,49.8,55.05714285714286,81.63934426229508
DSHGARME,141.9,141.9,141.9,141.9,1731,2023-01-01,31.10000000000001,65.87142857142858,28.068592057761734
DULAMIACOT,69.4,69.4,69.4,69.4,5,2023-01-31,-72.5,69.0,-51.09231853417899
DULAMIACOT,72.3,72.3,72.3,72.3,1,2023-01-01,2.8999999999999915,76.74285714285715,4.17867435158501
DUTCHBANGL,62.6,62.6,62.6,62.6,132,2023-01-31,-9.699999999999996,82.71428571428571,-13.41632088520055
DUTCHBANGL,62.6,62.6,62.6,62.6,20648,2023-01-01,0.0,82.94285714285715,0.0
EASTERNINS,54.1,54.1,54.1,54.1,33510,2023-01-31,-8.5,81.95714285714287,-13.57827476038339
EASTERNINS,48.7,48.7,48.7,48.7,1562,2023-01-01,-5.399999999999999,73.08571428571427,-9.981515711645095
EASTLAND,26.7,26.7,26.7,26.7,109,2023-01-31,-22.000000000000004,56.62857142857143,-45.17453798767968
EASTLAND,24.2,24.2,24.2,24.2,2892,2023-01-01,-2.5,50.17142857142857,-9.363295880149813
EASTRNLUB,1674.0,1674.0,1610.0,1645.3,13366,2023-01-31,1621.1,274.8857142857143,6698.760330578513
EASTRNLUB,1589.0,1589.0,1589.0,1589.0,165,2023-01-01,-56.299999999999955,492.9428571428572,-3.4218683522761806
EBL,31.8,31.8,31.8,31.8,4542,2023-01-31,-1557.2,488.54285714285714,-97.99874134675896
EBL,31.8,31.8,31.8,31.8,636,2023-01-01,0.0,485.35714285714283,0.0
ECABLES,202.5,206.0,196.0,199.5,160015,2023-01-31,167.7,506.90000000000003,527.3584905660377
ECABLES,195.7,198.4,187.1,189.3,30531,2023-01-01,-10.199999999999989,530.1285714285715,-5.112781954887213
EGEN,53.7,53.8,51.6,52.1,165768,2023-01-31,-137.20000000000002,534.1142857142858,-72.47754886423667
EGEN,51.9,52.4,49.5,49.9,114716,2023-01-01,-2.200000000000003,306.19999999999993,-4.222648752399238
EHL,80.9,80.9,76.4,76.7,553280,2023-01-01,-31.700000000000003,101.10000000000001,-29.243542435424352
EIL,28.0,28.0,28.0,28.0,11972,2023-01-31,-48.7,100.55714285714285,-63.4941329856584
EIL,27.1,27.1,27.1,27.1,1223,2023-01-01,-0.8999999999999986,75.92857142857143,-3.214285714285714
EMERALDOIL,28.6,28.6,28.6,28.6,14337,2023-01-31,1.5,52.97142857142858,5.535055350553497
EMERALDOIL,34.6,34.6,34.6,34.6,200,2023-01-01,6.0,50.471428571428575,20.97902097902098
EPGL,34.5,34.5,34.5,34.5,5,2023-01-31,-0.10000000000000142,48.271428571428565,-0.28901734104046506
EPGL,34.5,34.5,34.5,34.5,182,2023-01-01,0.0,37.714285714285715,0.0
EXIMBANK,10.4,10.4,10.4,10.4,6676,2023-01-31,-24.1,28.242857142857144,-69.85507246376812
EXIMBANK,10.4,10.4,10.4,10.4,2493,2023-01-01,0.0,25.728571428571428,0.0
FAMILYTEX,4.9,4.9,4.9,4.9,6,2023-01-31,-5.5,22.557142857142857,-52.88461538461539
FAMILYTEX,4.9,4.9,4.9,4.9,10502,2023-01-01,0.0,19.17142857142857,0.0
FARCHEM,10.6,10.6,10.6,10.6,6139,2023-01-31,5.699999999999999,15.742857142857144,116.32653061224487
FARCHEM,10.6,10.6,10.6,10.6,725,2023-01-01,0.0,12.328571428571427,0.0
FAREASTLIF,81.7,84.7,81.7,82.1,439038,2023-01-31,71.5,19.12857142857143,674.5283018867924
FAREASTLIF,75.0,75.0,75.0,75.0,20,2023-01-01,-7.099999999999994,28.357142857142858,-8.64799025578562
FBFIF,5.0,5.0,5.0,5.0,608400,2023-01-31,-70.0,27.585714285714285,-93.33333333333333
FBFIF,5.0,5.0,5.0,5.0,261872,2023-01-01,0.0,27.6,0.0
FEDERALINS,25.5,25.7,25.5,25.5,26272,2023-01-31,20.5,30.542857142857144,409.99999999999994
FEDERALINS,24.6,24.6,24.6,24.6,1072,2023-01-01,-0.8999999999999986,32.542857142857144,-3.529411764705881
FEKDIL,17.2,17.2,17.2,17.2,700,2023-01-31,-7.400000000000002,33.48571428571429,-30.081300813008138
FEKDIL,17.2,17.2,17.2,17.2,479,2023-01-01,0.0,24.214285714285715,0.0
FINEFOODS,57.7,57.7,57.7,57.7,19817,2023-01-31,40.5,21.742857142857144,235.46511627906978
FINEFOODS,62.9,62.9,60.3,60.7,87782,2023-01-01,3.0,29.700000000000006,5.199306759098787
FIRSTSBANK,9.8,9.8,9.8,9.8,3311,2023-01-31,-50.900000000000006,30.38571428571429,-83.85502471169687
FIRSTSBANK,9.8,9.8,9.8,9.8,2837,2023-01-01,0.0,28.142857142857146,0.0
FORTUNE,75.7,75.7,75.7,75.7,1,2023-01-31,65.9,35.44285714285714,672.4489795918367
FORTUNE,75.7,75.7,75.7,75.7,464,2023-01-01,0.0,43.800000000000004,0.0
GBBPOWER,17.0,17.0,17.0,17.0,5438,2023-01-31,-58.7,43.77142857142858,-77.54293262879789
GBBPOWER,19.2,19.2,19.2,19.2,12,2023-01-01,2.1999999999999993,38.27142857142858,12.941176470588234
GEMINISEA,428.0,432.6,411.9,416.3,372521,2023-01-31,397.1,89.07142857142857,2068.229166666667
GEMINISEA,370.0,371.8,355.0,358.2,63887,2023-01-01,-58.10000000000002,138.84285714285716,-13.95628152774442
GENEXIL,81.8,81.9,78.1,78.6,1090886,2023-01-01,-22.30000000000001,152.27142857142857,-22.10109018830526
GENNEXT,6.0,6.0,6.0,6.0,126103,2023-01-31,-72.6,142.31428571428572,-92.36641221374046
GENNEXT,6.0,6.0,6.0,6.0,2946,2023-01-01,0.0,140.74285714285716,0.0
GHCL,35.1,35.1,35.1,35.1,1,2023-01-31,29.1,143.0142857142857,485.00000000000006
GHCL,35.1,35.1,35.1,35.1,1,2023-01-01,0.0,88.55714285714286,0.0
GIB,9.0,9.0,9.0,9.0,6917,2023-01-31,-26.1,38.67142857142858,-74.35897435897436
GIB,9.0,9.0,9.0,9.0,7417,2023-01-01,0.0,25.54285714285715,0.0
GLDNJMF,9.9,9.9,9.9,9.9,10,2023-01-31,0.9000000000000004,15.728571428571438,10.000000000000009
GLDNJMF,9.9,9.9,9.9,9.9,1000,2023-01-01,0.0,16.285714285714295,0.0
GLOBALINS,33.9,33.9,33.9,33.9,8331,2023-01-31,24.0,20.27142857142858,242.42424242424238
GLOBALINS,30.9,30.9,30.9,30.9,1911,2023-01-01,-3.0,19.67142857142858,-8.849557522123897
GOLDENSON,18.2,18.2,18.2,18.2,1,2023-01-31,-12.7,17.257142857142863,-41.10032362459547
GOLDENSON,18.2,18.2,18.2,18.2,100,2023-01-01,0.0,18.57142857142858,0.0
GP,286.6,286.6,286.6,286.6,9125,2023-01-31,268.40000000000003,58.22857142857144,1474.725274725275
GP,286.6,286.6,286.6,286.6,1154,2023-01-01,0.0,97.75714285714288,0.0
GPHISPAT,44.8,44.8,44.8,44.8,3331,2023-01-31,-241.8,102.74285714285716,-84.36845778087928
GPHISPAT,44.8,44.8,44.8,44.8,248,2023-01-01,0.0,104.3,0.0
GQBALLPEN,91.8,91.8,89.5,89.7,9944,2023-01-31,44.900000000000006,112.70000000000002,100.22321428571432
GQBALLPEN,98.4,100.9,97.3,97.3,16438,2023-01-01,7.599999999999994,124.00000000000001,8.472686733556301
GREENDELT,68.5,71.5,68.5,68.6,63523,2023-01-31,-28.700000000000003,131.20000000000002,-29.496402877697847
GREENDELT,65.1,65.1,65.1,65.1,710,2023-01-01,-3.5,99.55714285714286,-5.102040816326536
HAKKANIPUL,53.9,54.5,53.9,54.1,42324,2023-01-31,-10.999999999999993,66.34285714285714,-16.897081413210437
HAKKANIPUL,59.0,59.2,58.5,58.5,47330,2023-01-01,4.399999999999999,68.3,8.13308687615526
HFL,19.4,19.4,19.4,19.4,2126,2023-01-31,-39.1,64.67142857142858,-66.83760683760684
HFL,21.0,21.0,21.0,21.0,23,2023-01-01,1.6000000000000014,54.857142857142854,8.247422680412386
HWAWELLTEX,45.3,46.0,45.1,45.1,23437,2023-01-31,24.1,47.40000000000001,114.76190476190476
HWAWELLTEX,45.0,45.3,45.0,45.2,25770,2023-01-01,0.10000000000000142,44.057142857142864,0.22172949002217113
IBNSINA,286.6,286.6,286.6,286.6,2435,2023-01-31,241.40000000000003,75.70000000000002,534.070796460177
IBNSINA,286.6,286.6,286.6,286.6,850,2023-01-01,0.0,108.91428571428573,0.0
IBP,19.0,19.0,19.0,19.0,178,2023-01-31,-267.6,103.27142857142859,-93.37055129099791
IBP,16.4,16.4,16.4,16.4,12245,2023-01-01,-2.6000000000000014,102.84285714285716,-13.684210526315798
ICB,87.6,87.6,87.6,87.6,273,2023-01-31,71.19999999999999,112.35714285714288,434.1463414634147
ICB,87.6,87.6,87.6,87.6,1000,2023-01-01,0.0,118.42857142857144,0.0
ICBIBANK,5.4,5.4,5.4,5.4,1,2023-01-31,-82.19999999999999,112.74285714285716,-93.83561643835617
ICBIBANK,5.4,5.4,5.4,5.4,510,2023-01-01,0.0,72.57142857142858,0.0
ICICL,40.4,40.4,40.4,40.4,6032,2023-01-31,35.0,37.40000000000001,648.148148148148
ICICL,30.9,30.9,30.9,30.9,693,2023-01-01,-9.5,39.10000000000001,-23.51485148514851
IDLC,46.5,46.5,46.5,46.5,2241,2023-01-31,15.600000000000001,43.40000000000001,50.48543689320388
IDLC,46.5,46.5,46.5,46.5,3802,2023-01-01,0.0,37.52857142857143,0.0
IFADAUTOS,44.1,44.1,44.1,44.1,23,2023-01-31,-2.3999999999999986,31.31428571428572,-5.161290322580648
IFADAUTOS,44.1,44.1,44.1,44.1,8100,2023-01-01,0.0,36.84285714285715,0.0
IFIC,11.5,11.5,11.5,11.5,162216,2023-01-31,-32.6,37.71428571428572,-73.92290249433107
IFIC,11.5,11.5,11.5,11.5,96019,2023-01-01,0.0,33.585714285714296,0.0
IMAMBUTTON,96.8,96.8,96.8,96.8,1,2023-01-31,85.3,43.00000000000001,741.7391304347825
IMAMBUTTON,119.4,119.4,119.4,119.4,3,2023-01-01,22.60000000000001,53.414285714285725,23.347107438016536
INDEXAGRO,103.6,103.6,103.6,103.6,90,2023-01-31,-15.800000000000011,61.57142857142858,-13.232830820770525
INDEXAGRO,103.6,103.6,103.6,103.6,5670,2023-01-01,0.0,70.07142857142857,0.0
INTECH,23.5,23.5,23.5,23.5,2796,2023-01-31,-80.1,67.12857142857145,-77.31660231660231
INTECH,29.0,29.0,29.0,29.0,65,2023-01-01,5.5,69.62857142857145,23.404255319148938
INTRACO,38.0,38.0,37.1,37.2,1404068,2023-01-31,8.200000000000003,73.3,28.27586206896553
IPDC,57.6,57.6,57.6,57.6,1,2023-01-31,17.700000000000003,56.342857142857156,44.36090225563911
IPDC,57.6,57.6,57.6,57.6,12,2023-01-01,0.0,49.77142857142858,0.0
