Scrip,Open,High,Low,Close,Volume,Date
BANGAS,107.1,109.6,106.1,108.7,16665,2023-01-31
BANGAS,120.5,120.5,120.5,120.5,752,2023-01-01
BATASHOE,950.1,950.1,950.1,950.1,100,2023-01-31
BATASHOE,962.0,962.0,946.0,948.0,500,2023-01-01
BATBC,518.7,518.7,518.7,518.7,1730,2023-01-31
BATBC,518.7,518.7,518.7,518.7,813,2023-01-01
BAYLEASING,23.9,23.9,23.9,23.9,52,2023-01-31
BAYLEASING,23.9,23.9,23.9,23.9,250,2023-01-01
BBS,21.6,21.6,21.6,21.6,600,2023-01-31
BBS,21.6,21.6,21.6,21.6,592,2023-01-01
BBSCABLES,49.9,49.9,49.9,49.9,781,2023-01-31
BBSCABLES,49.9,49.9,49.9,49.9,4942,2023-01-01
BDAUTOCA,124.7,124.7,119.5,121.3,18639,2023-01-31
BDAUTOCA,142.7,142.7,142.7,142.7,3563,2023-01-01
BDCOM,43.0,43.5,43.0,43.0,445786,2023-01-31
BDCOM,37.7,38.2,37.3,37.3,457767,2023-01-01
BDLAMPS,252.2,252.2,252.2,252.2,100,2023-01-31
BDLAMPS,257.9,257.9,252.3,252.5,27884,2023-01-01
BDTHAI,14.7,14.7,14.7,14.7,22786,2023-01-31
BDTHAI,16.4,16.4,16.4,16.4,760,2023-01-01
BDTHAIFOOD,38.7,39.3,38.2,38.4,293605,2023-01-31
BDTHAIFOOD,49.9,50.1,48.3,48.5,455483,2023-01-01
BDWELDING,32.2,32.2,29.1,29.7,1291794,2023-01-31
BDWELDING,27.5,28.0,27.1,27.4,70035,2023-01-01
BEACHHATCH,33.1,33.1,33.1,33.1,33571,2023-01-31
BEACHHATCH,39.7,39.7,39.7,39.7,55,2023-01-01
BEACONPHAR,322.0,322.0,302.0,308.6,151479,2023-01-31
BEACONPHAR,304.5,304.5,282.1,284.0,35311,2023-01-01
BENGALWTL,36.9,36.9,35.6,35.8,671621,2023-01-31
BENGALWTL,29.5,32.2,29.5,30.7,2817025,2023-01-01
BERGERPBL,1720.0,1739.0,1720.0,1737.1,1033,2023-01-31
BERGERPBL,1726.9,1726.9,1717.0,1725.2,261,2023-01-01
BEXGSUKUK,85.0,85.5,85.0,85.5,8476,2023-01-31
BEXGSUKUK,86.5,86.5,86.0,86.5,3760,2023-01-01
BEXIMCO,115.6,115.6,115.6,115.6,2571,2023-01-31
BEXIMCO,115.6,115.6,115.6,115.6,792,2023-01-01
BGIC,68.4,70.0,67.8,69.4,218732,2023-01-31
BGIC,61.4,63.7,61.4,62.8,92537,2023-01-01
BNICL,61.7,61.7,60.5,61.1,169273,2023-01-31
BNICL,58.2,58.2,56.9,57.0,78812,2023-01-01
BPML,82.0,86.4,82.0,84.7,3314215,2023-01-31
BPML,77.7,77.7,73.1,73.5,1294303,2023-01-01
BRACBANK,38.5,38.5,38.5,38.5,1291,2023-01-31
BRACBANK,38.5,38.5,38.5,38.5,1953,2023-01-01
BSC,128.5,130.0,122.6,123.3,1589305,2023-01-31
BSC,115.9,116.5,112.8,113.2,458165,2023-01-01
BSCCL,218.9,218.9,218.9,218.9,1462,2023-01-31
BSCCL,218.9,218.9,218.9,218.9,181,2023-01-01
BSRMLTD,90.0,90.0,90.0,90.0,258,2023-01-31
BSRMLTD,90.0,90.0,90.0,90.0,208,2023-01-01
BSRMSTEEL,63.9,63.9,63.9,63.9,350,2023-01-31
BSRMSTEEL,63.9,63.9,63.9,63.9,1049,2023-01-01
BXPHARMA,146.2,146.2,146.2,146.2,37555,2023-01-31
BXPHARMA,146.2,147.0,146.2,146.2,74794,2023-01-01
CAPMIBBLMF,11.5,11.5,11.5,11.5,2125,2023-01-31
CAPMIBBLMF,13.7,13.7,13.7,13.7,3,2023-01-01
CENTRALINS,39.8,39.8,39.5,39.5,8802,2023-01-31
CENTRALINS,35.4,35.4,35.4,35.4,2702,2023-01-01
CENTRALPHL,11.2,11.2,11.2,11.2,19150,2023-01-31
