"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2015","4,840.15","4,840.15","4,840.15","4,840.15","","0.48%"
"08/19/2015","4,816.97","4,816.97","4,816.97","4,816.97","","0.16%"
"08/18/2015","4,809.27","4,809.27","4,809.27","4,809.27","","0.87%"
"08/17/2015","4,768.01","4,768.01","4,768.01","4,768.01","","-0.33%"
"08/16/2015","4,783.80","4,783.80","4,783.80","4,783.80","","-0.52%"
"08/13/2015","4,808.87","4,808.87","4,808.87","4,808.87","","-0.26%"
"08/12/2015","4,821.62","4,821.62","4,821.62","4,821.62","","0.63%"
"08/11/2015","4,791.47","4,791.47","4,791.47","4,791.47","","-0.50%"
"08/10/2015","4,815.63","4,815.63","4,815.63","4,815.63","","-0.59%"
"08/09/2015","4,844.35","4,844.35","4,844.35","4,844.35","","-0.41%"
"08/06/2015","4,864.45","4,864.45","4,864.45","4,864.45","","-0.20%"
"08/05/2015","4,873.96","4,873.96","4,873.96","4,873.96","","0.04%"
"08/04/2015","4,871.81","4,871.81","4,871.81","4,871.81","","0.19%"
"08/03/2015","4,862.55","4,862.55","4,862.55","4,862.55","","1.26%"
"08/02/2015","4,802.02","4,802.02","4,802.02","4,802.02","","0.20%"
"07/30/2015","4,792.30","4,792.30","4,792.30","4,792.30","","0.30%"
"07/29/2015","4,777.90","4,777.90","4,777.90","4,777.90","","-0.40%"
"07/28/2015","4,797.17","4,797.17","4,797.17","4,797.17","","0.46%"
"07/27/2015","4,775.27","4,775.27","4,775.27","4,775.27","","-0.23%"
"07/26/2015","4,786.49","4,786.49","4,786.49","4,786.49","","-0.46%"
"07/23/2015","4,808.39","4,808.39","4,808.39","4,808.39","","1.40%"
"07/22/2015","4,741.97","4,741.97","4,741.97","4,741.97","","0.23%"
"07/21/2015","4,731.31","4,731.31","4,731.31","4,731.31","","1.61%"
"07/14/2015","4,656.13","4,656.13","4,656.13","4,656.13","","0.59%"
"07/13/2015","4,628.85","4,628.85","4,628.85","4,628.85","","0.30%"
"07/12/2015","4,615.19","4,615.19","4,615.19","4,615.19","","0.33%"
"07/09/2015","4,599.91","4,599.91","4,599.91","4,599.91","","0.44%"
"07/08/2015","4,579.72","4,579.72","4,579.72","4,579.72","","0.32%"
"07/07/2015","4,565.24","4,565.24","4,565.24","4,565.24","","0.85%"
"07/06/2015","4,526.71","4,526.71","4,526.71","4,526.71","","-0.20%"
"07/05/2015","4,536.00","4,536.00","4,536.00","4,536.00","","-0.80%"
"07/02/2015","4,572.58","4,572.58","4,572.58","4,572.58","","-0.23%"
"06/30/2015","4,583.10","4,583.10","4,583.10","4,583.10","","1.13%"
"06/29/2015","4,531.98","4,531.98","4,531.98","4,531.98","","0.66%"
"06/28/2015","4,502.22","4,502.22","4,502.22","4,502.22","","1.05%"
"06/25/2015","4,455.28","4,455.28","4,455.28","4,455.28","","-0.04%"
"06/24/2015","4,457.24","4,457.24","4,457.24","4,457.24","","-0.72%"
"06/23/2015","4,489.45","4,489.45","4,489.45","4,489.45","","-0.32%"
"06/22/2015","4,503.98","4,503.98","4,503.98","4,503.98","","-0.17%"
"06/21/2015","4,511.46","4,511.46","4,511.46","4,511.46","","-0.19%"
"06/18/2015","4,519.85","4,519.85","4,519.85","4,519.85","","-0.17%"
"06/17/2015","4,527.41","4,527.41","4,527.41","4,527.41","","0.46%"
"06/16/2015","4,506.71","4,506.71","4,506.71","4,506.71","","0.65%"
"06/15/2015","4,477.55","4,477.55","4,477.55","4,477.55","","0.54%"
"06/14/2015","4,453.36","4,453.36","4,453.36","4,453.36","","-1.37%"
"06/11/2015","4,515.13","4,515.13","4,515.13","4,515.13","","-0.91%"
"06/10/2015","4,556.68","4,556.68","4,556.68","4,556.68","","0.95%"
"06/09/2015","4,513.97","4,513.97","4,513.97","4,513.97","","-0.62%"
"06/08/2015","4,542.27","4,542.27","4,542.27","4,542.27","","-1.63%"
"06/07/2015","4,617.70","4,617.70","4,617.70","4,617.70","","0.57%"
"06/04/2015","4,591.42","4,591.42","4,591.42","4,591.42","","0.10%"
"06/02/2015","4,586.84","4,586.84","4,586.84","4,586.84","","-0.80%"
"06/01/2015","4,623.63","4,623.63","4,623.63","4,623.63","","0.80%"
"05/31/2015","4,586.95","4,586.95","4,586.95","4,586.95","","0.93%"
"05/28/2015","4,544.70","4,544.70","4,544.70","4,544.70","","-1.55%"
"05/27/2015","4,616.12","4,616.12","4,616.12","4,616.12","","-0.24%"
"05/26/2015","4,627.16","4,627.16","4,627.16","4,627.16","","0.26%"
"05/25/2015","4,615.01","4,615.01","4,615.01","4,615.01","","2.86%"
"05/24/2015","4,486.77","4,486.77","4,486.77","4,486.77","","0.08%"
"05/21/2015","4,483.28","4,483.28","4,483.28","4,483.28","","0.62%"
"05/20/2015","4,455.57","4,455.57","4,455.57","4,455.57","","-0.08%"
"05/19/2015","4,459.28","4,459.28","4,459.28","4,459.28","","1.18%"
"05/18/2015","4,407.42","4,407.42","4,407.42","4,407.42","","2.12%"
"05/17/2015","4,315.99","4,315.99","4,315.99","4,315.99","","0.03%"
"05/14/2015","4,314.88","4,314.88","4,314.88","4,314.88","","-0.64%"
"05/13/2015","4,342.66","4,342.66","4,342.66","4,342.66","","0.37%"
"05/12/2015","4,326.61","4,326.61","4,326.61","4,326.61","","-0.52%"
